Geneid	MB231-Combo-1.sorted.bam	MB231-Combo-2.sorted.bam	MB231-Combo-3.sorted.bam	MB231-DMSO-1.sorted.bam	MB231-DMSO-2.sorted.bam	MB231-DMSO-3.sorted.bam	MB231-MG132-1.sorted.bam	MB231-MG132-2.sorted.bam	MB231-MG132-3.sorted.bam	MB231-SHP-1.sorted.bam	MB231-SHP-2.sorted.bam	MB231-SHP-3.sorted.bam
TRNP	842	957	1075	1463	1252	1265	1356	1607	1308	1313	1308	1165
TRNT	1	0	2	4	0	0	1	4	4	3	1	2
CYTB	39433	42086	49524	49474	45838	48064	51052	52566	52500	55726	55322	53118
TRNE	16	8	28	15	19	10	14	9	11	18	5	20
ND6	10822	10524	12729	13642	12492	12937	13684	13686	14150	14248	14398	13486
ND5	35507	34531	44052	42837	40361	41186	44330	45774	45073	48495	49549	45494
TRNL2	1	3	2	3	1	1	0	1	0	8	0	1
TRNS2	0	3	1	0	2	0	0	0	1	0	1	1
TRNH	5	3	14	6	1	6	3	8	9	9	11	7
ND4	108694	117893	136974	140813	128240	137631	146757	148882	154660	158196	154432	154499
ND4L	21977	23597	26904	27188	24882	26255	28130	31172	28693	28529	26460	28856
TRNR	4	5	2	1	4	6	6	1	7	6	7	1
ND3	22404	23827	22914	26846	26935	25978	26598	26250	26467	25294	21382	25807
TRNG	4	3	1	8	2	6	5	5	5	1	3	4
COX3	89554	98375	110241	126134	118238	119080	127469	131250	128440	131889	121908	118044
ATP6	83225	92138	104957	110342	98695	105059	111363	118971	119294	126475	128898	117313
ATP8	2148	2440	2652	2361	2654	2630	2917	3098	2469	3025	2765	2778
TRNK	0	1	6	0	1	3	3	2	2	2	1	2
COX2	90354	99796	106666	124154	118110	122984	120680	120674	119334	132101	118690	121029
TRND	4	1	7	1	5	10	3	5	7	8	6	7
TRNS1	0	3	4	5	0	0	1	0	1	1	0	0
COX1	247834	259067	316623	321184	299504	309898	327884	342789	336802	367027	359600	336517
TRNY	116	133	131	119	199	144	168	201	171	135	166	197
TRNC	932	1094	1038	1262	1182	1186	1138	1195	1293	1031	1229	1102
TRNN	1846	1990	1962	2360	2040	2061	2117	2098	2253	1975	1705	1934
TRNA	1	0	0	0	0	0	0	0	0	0	0	0
TRNW	0	2	0	0	1	0	0	1	2	0	0	0
ND2	85673	91290	107142	105100	98207	100487	104056	111430	106289	125500	128029	114992
TRNM	11	11	29	12	12	5	6	10	11	12	16	13
TRNQ	0	2	3	3	1	2	4	2	0	2	3	2
TRNI	0	3	6	8	3	7	3	11	4	3	6	6
ND1	50745	53959	63582	66332	59958	61470	63737	67526	64205	74882	76633	67180
TRNL1	146	184	170	168	137	168	158	142	166	162	217	207
RNR2	236392	260571	268403	254213	233244	232712	248062	241721	252194	259015	234084	246641
TRNV	12	2	14	5	4	9	11	9	14	9	14	5
RNR1	20283	21867	22407	20058	17788	18019	18647	18447	18493	19954	18401	18866
